Order_ID,Order_Date,Customer_Name,Region,Category,Product,Quantity,Price,Sales_Amount,Customer_Segment,Payment_Method,Sales_Channel
ORD101861,2025-11-09,Customer_3067,North,Beauty,Mobile,13.0,95251.46,1238268.98,Consumer,Debit Card,Online
ORD100354,2024-07-28,Customer_7438,West,Clothing,Desk,1.0,61022.2,61022.2,Consumer,Cash,Store
ORD101334,2024-05-15,Customer_7418,South,Electronics,Chair,5.0,73108.72,365543.6,Consumer,UPI,Online
ORD100906,2024-11-05,Customer_2674,Central,Beauty,Shoes,11.0,72028.8,792316.8,Small Business,UPI,Online
ORD101290,2025-08-11,Customer_2160,South,Grocery,Shirt,2.0,31389.31,62778.62,Corporate,UPI,Store
ORD101274,2025-08-24,Customer_2559,East,Furniture,Keyboard,12.0,53155.43,637865.16,Corporate,UPI,Online
ORD100939,2025-12-03,Customer_8121,West,Beauty,Headphones,14.0,75435.36,1056095.04,Corporate,Credit Card,Online
ORD101732,2024-12-13,Customer_1186,South,Grocery,Monitor,9.0,71944.07,647496.63,Small Business,Cash,Marketplace
ORD100066,2024-08-21,Customer_6170,East,Electronics,Shirt,10.0,44651.23,446512.3,Consumer,UPI,Store
ORD101324,2024-02-04,Customer_5537,Central,Furniture, Monitor,4.0,99971.41,399885.64,Small Business,Cash,Store
ORD100057,2025-10-05,Customer_3209,Central,Electronics,Mobile,7.0,16721.12,117047.84,Consumer,UPI,Online
ORD101293,2024-10-29,Customer_2463,East,,Headphones,7.0,13091.77,91642.39,Consumer,Credit Card,Store
ORD101119,2024-04-26,Customer_7286,West,Furniture,Desk,7.0,52571.45,368000.15,Corporate,Cash,Online
ORD100585,2024-08-28,Customer_6049,West,Beauty,Desk,12.0,61987.83,743853.96,Corporate,Cash,online
ORD100375,2025-06-02,Customer_3793,Central,Electronics,Headphones,4.0,24682.36,98729.44,Corporate,UPI,Marketplace 
ORD100276,2025-07-03,Customer_3308,North,Grocery,Laptop,6.0,44692.23,268153.38,Small Business,Debit Card,Store
ORD100747,2025-09-28,,West,Sports,Headphones,2.0,10682.48,21364.96,Consumer,Debit Card,Store
ORD100129,2024-08-12,Customer_7001,South,Grocery,Headphones,11.0,59067.37,649741.07,Consumer,Credit Card,Marketplace
ORD101647,2025-03-29,Customer_3615,Central,Clothing,Chair,5.0,48185.2,240926.0,Small Business,Cash,Store
ORD101853,2024-03-24,Customer_9467,South,Beauty,Desk,13.0,53475.63,695183.19,Consumer,Cash,Marketplace
ORD100675,2025-03-06,Customer_6642,East,Sports,Monitor,5.0,78405.88,392029.4,Corporate,Net Banking,Marketplace
ORD101665,2025-05-13,Customer_4084,Central,Beauty,Desk,9.0,21474.31,193268.79,Consumer,Net Banking,Store
